SISTEMA,OWNER,TABLE_NAME,NUM_ROWS,NUM_ROWS_STR,text,bubble_size
FFON,FLUFON,CFE_D_CVIA_LISTA,0.0,0.00,Sistema: FFON<br>Tabla:  CFE_D_CVIA_LISTA<br>Numero de registro: 0.00<br>,20.0
SIAF,NSIAF,SIAF_MONTO_LINEA_H,1848.0,"1,848.00","Sistema: SIAF<br>Tabla:  SIAF_MONTO_LINEA_H<br>Numero de registro: 1,848.00<br>",62.988370520409354
FFON,FLUFON,CFE_C_DIVXFECHA,0.0,0.00,Sistema: FFON<br>Tabla:  CFE_C_DIVXFECHA<br>Numero de registro: 0.00<br>,20.0
SIAG,GIA,SIAG_CAT_DEPENDENCIAS,385.0,385.00,Sistema: SIAG<br>Tabla:  SIAG_CAT_DEPENDENCIAS<br>Numero de registro: 385.00<br>,39.62141687034858
SISEC,SISEC,SISEC_GATO_PROGRAMA,1123.0,"1,123.00","Sistema: SISEC<br>Tabla:  SISEC_GATO_PROGRAMA<br>Numero de registro: 1,123.00<br>",53.51119216023208
FFON,FLUFON,CFE_M_ENCABEZADO_FALLIDO_VOL,5.0,5.00,Sistema: FFON<br>Tabla:  CFE_M_ENCABEZADO_FALLIDO_VOL<br>Numero de registro: 5.00<br>,22.23606797749979
FFON,FLUFON,KJA_C_AREA,8.0,8.00,Sistema: FFON<br>Tabla:  KJA_C_AREA<br>Numero de registro: 8.00<br>,22.82842712474619
SIAF,NSIAF,SIAF_SOL_MONTOS_SOLICITADOS,1836.0,"1,836.00","Sistema: SIAF<br>Tabla:  SIAF_SOL_MONTOS_SOLICITADOS<br>Numero de registro: 1,836.00<br>",62.8485705712571
SISEC,SISEC,SISEC_MF_CAT_CAMPO,15.0,15.00,Sistema: SISEC<br>Tabla:  SISEC_MF_CAT_CAMPO<br>Numero de registro: 15.00<br>,23.872983346207416
MECA,MECA,CAPF_CG_REF_CODES,8.0,8.00,Sistema: MECA<br>Tabla:  CAPF_CG_REF_CODES<br>Numero de registro: 8.00<br>,22.82842712474619
SISEC,SISEC,DMRS_TRANSFORMATION_PACKAGES,0.0,0.00,Sistema: SISEC<br>Tabla:  DMRS_TRANSFORMATION_PACKAGES<br>Numero de registro: 0.00<br>,20.0
SIRAC,SIRAC,MI_FECHA_LIQUIDACION,519.0,519.00,Sistema: SIRAC<br>Tabla:  MI_FECHA_LIQUIDACION<br>Numero de registro: 519.00<br>,42.78157149978904
IMRC,TROYA,T_XLS_DESCLIBRES,1435.0,"1,435.00","Sistema: IMRC<br>Tabla:  T_XLS_DESCLIBRES<br>Numero de registro: 1,435.00<br>",57.881393849751625
SIRAC,SIRAC,MG_RESPALDOS_APLICACION,0.0,0.00,Sistema: SIRAC<br>Tabla:  MG_RESPALDOS_APLICACION<br>Numero de registro: 0.00<br>,20.0
SIPE,SIPE,SIPE_METODOS_COBRO_PAGO,8.0,8.00,Sistema: SIPE<br>Tabla:  SIPE_METODOS_COBRO_PAGO<br>Numero de registro: 8.00<br>,22.82842712474619
MECA,MECA,MECA_PORTAFOLIOS,41.0,41.00,Sistema: MECA<br>Tabla:  MECA_PORTAFOLIOS<br>Numero de registro: 41.00<br>,26.40312423743285
